Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered
16/01/2021,India,48276,48276,0
17/01/2021,India,58604,58604,0
18/01/2021,India,99449,99449,0
19/01/2021,India,195525,195525,0
20/01/2021,India,251280,251280,0
21/01/2021,India,365965,365965,0
22/01/2021,India,549381,549381,0
23/01/2021,India,759008,759008,0
24/01/2021,India,835058,835058,0
25/01/2021,India,1277104,1277104,0
26/01/2021,India,1293784,1293784,0
27/01/2021,India,1726490,1726490,0
28/01/2021,India,2295491,2295491,0
29/01/2021,India,2814803,2814803,0
30/01/2021,India,3067736,3067736,0
31/01/2021,India,3127107,3127107,0
1/2/2021,India,3350265,3350265,0
2/2/2021,India,3527971,3527971,0
3/2/2021,India,3825835,3825835,0
4/2/2021,India,4314304,4314304,0
5/2/2021,India,4765924,4765924,0
6/2/2021,India,5111827,5111827,0
7/2/2021,India,5168099,5168099,0
8/2/2021,India,5615499,5615499,0
9/2/2021,India,6002474,6002474,0
10/2/2021,India,6462270,6462270,0
11/2/2021,India,6958553,6958553,0
12/2/2021,India,7423817,7423817,0
13/02/2021,India,7708211,7687352,20859
14/02/2021,India,7732278,7710367,21911
15/02/2021,India,8253651,8111162,142489
16/02/2021,India,8577226,8337600,239626
17/02/2021,India,9023239,8704698,318541
18/02/2021,India,9338267,8862491,475776
19/02/2021,India,10241508,9523567,717941
20/02/2021,India,10619113,9734505,884608
21/02/2021,India,10651012,9757217,893795
22/02/2021,India,11243679,10069263,1174416
23/02/2021,India,11597768,10288293,1309475
24/02/2021,India,12042958,10517568,1525390
25/02/2021,India,12819074,10846192,1972882
26/02/2021,India,13560932,11141375,2419557
27/02/2021,India,13560983,11141426,2419557
28/02/2021,India,13561208,11141651,2419557
1/3/2021,India,13561208,11141651,2419557
2/3/2021,India,14533954,11886320,2647634
3/3/2021,India,15383883,12553326,2830557
4/3/2021,India,16535703,13393538,3142165
5/3/2021,India,17871673,14415912,3455761
6/3/2021,India,19170828,15438495,3732333
7/3/2021,India,19288666,15541529,3747137
8/3/2021,India,21038500,16976138,4062362
9/3/2021,India,18360243,14003206,4357037
10/3/2021,India,19538547,14872785,4665762
11/3/2021,India,19953987,15204375,4749612
12/3/2021,India,21772159,16612019,5160140
13/03/2021,India,23159604,17698742,5460862
14/03/2021,India,23317750,17837716,5480034
15/03/2021,India,25618250,19766466,5851784
16/03/2021,India,31870745,25709257,6161488
17/03/2021,India,36496020,30011328,6484692
18/03/2021,India,38770404,31952935,6817469
19/03/2021,India,41309219,34228371,7080848
20/03/2021,India,43877868,36568988,7308880
21/03/2021,India,44645372,37303458,7341914
22/03/2021,India,47204633,39612614,7592019
23/03/2021,India,49973152,42148875,7824277
24/03/2021,India,52216237,44250191,7966046
25/03/2021,India,54589220,46454700,8134520
26/03/2021,India,57021164,48749313,8271851
27/03/2021,India,59235436,50865316,8370120
28/03/2021,India,59557120,51179587,8377533
29/03/2021,India,60183064,51774289,8408775
30/03/2021,India,61990242,53429356,8560886
31/03/2021,India,63935590,55188803,8746787
1/4/2021,India,66361722,57443466,8918256
2/4/2021,India,70090836,60936753,9154083
3/4/2021,India,73112119,63743700,9368419
4/4/2021,India,76405697,66838504,9567193
5/4/2021,India,79439889,69620234,9819655
6/4/2021,India,82065337,72035640,10029697
7/4/2021,India,87100627,76671812,10428815
8/4/2021,India,91881530,80998099,10883431
9/4/2021,India,95583419,84296847,11286572
10/4/2021,India,99069354,87411872,11657482
11/4/2021,India,102000401,90111528,11888873
12/4/2021,India,105970539,93559587,12410952
13/04/2021,India,108598289,95823614,12774675
14/04/2021,India,111913288,98703696,13209592
15/04/2021,India,114598026,100853671,13744355
16/04/2021,India,117305344,102927296,14378048
17/04/2021,India,119971369,104950409,15020960
18/04/2021,India,121207098,105896430,15310668
19/04/2021,India,124457162,108178574,16278588
20/04/2021,India,127428887,110165234,17263653
21/04/2021,India,129646105,111673361,17972744
22/04/2021,India,132754608,113584269,19170339
23/04/2021,India,135658324,115461202,20197122
24/04/2021,India,138185956,117105343,21080613
25/04/2021,India,139185173,117795008,21390165
26/04/2021,India,142524947,119886252,22638695
27/04/2021,India,144879233,121263287,23615946
28/04/2021,India,147053392,122538179,24515213
29/04/2021,India,149268772,123811908,25456864
30/04/2021,India,151998107,125376952,26621155
1/5/2021,India,153626325,126328970,27297355
2/5/2021,India,154211511,126704151,27507360
3/5/2021,India,156082136,127696675,28385461
4/5/2021,India,157750752,128627919,29122833
5/5/2021,India,159931238,129730641,30200597
6/5/2021,India,162603603,131058890,31544713
7/5/2021,India,165190000,132294827,32895173
8/5/2021,India,167493857,133366482,34127375
9/5/2021,India,168304868,133854676,34450192
10/5/2021,India,171098918,135192013,35906905
11/5/2021,India,173862643,136557345,37305298
12/5/2021,India,176045577,137805245,38240332
13/05/2021,India,178361846,139087590,39274256
14/05/2021,India,179646413,139861462,39784951
15/05/2021,India,181544536,141132112,40412424
16/05/2021,India,182251006,141764335,40486671
17/05/2021,India,183817204,143090218,40726986
18/05/2021,India,185191602,144270200,40921402
19/05/2021,India,186410600,145333606,41076994
20/05/2021,India,187886885,146624652,41262233
21/05/2021,India,189344105,147893976,41450129
22/05/2021,India,190936859,149302864,41633995
23/05/2021,India,191877460,150180408,41697052
24/05/2021,India,194313920,152439044,41874876
25/05/2021,India,196463495,154384464,42079031
26/05/2021,India,198425615,156189641,42235974
27/05/2021,India,201438120,159006359,42431761
28/05/2021,India,204617572,161951713,42665859
29/05/2021,India,207796464,164804095,42992369
30/05/2021,India,208907723,165823004,43084719
31/05/2021,India,211778491,168393525,43384966
1/6/2021,India,214314522,170640412,43674110
2/6/2021,India,216858197,172945950,43912247
3/6/2021,India,219831571,175677634,44153937
4/6/2021,India,223642281,179205337,44436944
5/6/2021,India,227162503,182451348,44711155
6/6/2021,India,228624578,183824958,44799620
7/6/2021,India,232063488,186933771,45129717
8/6/2021,India,234952618,189503126,45449492
9/6/2021,India,238440129,192669299,45770830
10/6/2021,India,241846863,195747476,46099387
11/6/2021,India,245411955,198977594,46434361
12/6/2021,India,249033094,202207183,46825911
13/06/2021,India,250656362,203705131,46951231
14/06/2021,India,254653040,207274441,47378599
15/06/2021,India,257605528,209816439,47789089
16/06/2021,India,261118468,212945352,48173116
17/06/2021,India,264537245,215944608,48592637
18/06/2021,India,267951571,218956863,48994708
19/06/2021,India,271833642,222316897,49516745
20/06/2021,India,275018693,225211708,49806985
21/06/2021,India,283891764,233288807,50602957
22/06/2021,India,289961746,238685516,51276230
23/06/2021,India,296892521,244944880,51947641
24/06/2021,India,303426850,250656880,52769970
25/06/2021,India,309802519,256135000,53667519
26/06/2021,India,316535775,261705883,54829892
27/06/2021,India,318473492,263289938,55183554
28/06/2021,India,323836329,267485789,56350540
29/06/2021,India,327685422,270392224,57293198
30/06/2021,India,330553623,272487181,58066442
1/7/2021,India,334913220,275842378,59070842
2/7/2021,India,339447068,279132514,60314554
3/7/2021,India,346054022,283527017,62527005
4/7/2021,India,347766247,284750483,63015764
5/7/2021,India,352412289,287588808,64823481
6/7/2021,India,356192949,290132865,66060084
7/7/2021,India,,,
8/7/2021,India,,,
9/7/2021,India,,,
10/7/2021,India,,,
11/7/2021,India,,,
12/7/2021,India,,,
13/07/2021,India,,,
14/07/2021,India,,,
15/07/2021,India,,,
16/07/2021,India,,,
17/07/2021,India,,,
16/01/2021,Andaman and Nicobar Islands,23,23,0
17/01/2021,Andaman and Nicobar Islands,23,23,0
18/01/2021,Andaman and Nicobar Islands,42,42,0
19/01/2021,Andaman and Nicobar Islands,89,89,0
20/01/2021,Andaman and Nicobar Islands,124,124,0
21/01/2021,Andaman and Nicobar Islands,239,239,0
22/01/2021,Andaman and Nicobar Islands,552,552,0
23/01/2021,Andaman and Nicobar Islands,920,920,0
24/01/2021,Andaman and Nicobar Islands,966,966,0
25/01/2021,Andaman and Nicobar Islands,1519,1519,0
26/01/2021,Andaman and Nicobar Islands,1519,1519,0
27/01/2021,Andaman and Nicobar Islands,1519,1519,0
28/01/2021,Andaman and Nicobar Islands,1956,1956,0
29/01/2021,Andaman and Nicobar Islands,2024,2024,0
30/01/2021,Andaman and Nicobar Islands,2060,2060,0
31/01/2021,Andaman and Nicobar Islands,2060,2060,0
1/2/2021,Andaman and Nicobar Islands,2060,2060,0
2/2/2021,Andaman and Nicobar Islands,2060,2060,0
3/2/2021,Andaman and Nicobar Islands,2107,2107,0
4/2/2021,Andaman and Nicobar Islands,2290,2290,0
5/2/2021,Andaman and Nicobar Islands,2514,2514,0
6/2/2021,Andaman and Nicobar Islands,2780,2780,0
7/2/2021,Andaman and Nicobar Islands,2780,2780,0
8/2/2021,Andaman and Nicobar Islands,2780,2780,0
9/2/2021,Andaman and Nicobar Islands,2780,2780,0
10/2/2021,Andaman and Nicobar Islands,2780,2780,0
11/2/2021,Andaman and Nicobar Islands,2780,2780,0
12/2/2021,Andaman and Nicobar Islands,2852,2852,0
13/02/2021,Andaman and Nicobar Islands,3040,3040,0
14/02/2021,Andaman and Nicobar Islands,3040,3040,0
15/02/2021,Andaman and Nicobar Islands,3467,3363,104
16/02/2021,Andaman and Nicobar Islands,3467,3363,104
17/02/2021,Andaman and Nicobar Islands,3664,3560,104
18/02/2021,Andaman and Nicobar Islands,3846,3505,341
19/02/2021,Andaman and Nicobar Islands,4898,4246,652
20/02/2021,Andaman and Nicobar Islands,5653,4707,946
21/02/2021,Andaman and Nicobar Islands,5653,4707,946
22/02/2021,Andaman and Nicobar Islands,6856,5358,1498
23/02/2021,Andaman and Nicobar Islands,7058,5436,1622
24/02/2021,Andaman and Nicobar Islands,7240,5518,1722
25/02/2021,Andaman and Nicobar Islands,7763,5867,1896
26/02/2021,Andaman and Nicobar Islands,7989,6029,1960
27/02/2021,Andaman and Nicobar Islands,7989,6029,1960
28/02/2021,Andaman and Nicobar Islands,7989,6029,1960
1/3/2021,Andaman and Nicobar Islands,7989,6029,1960
2/3/2021,Andaman and Nicobar Islands,8724,6638,2086
3/3/2021,Andaman and Nicobar Islands,8837,6749,2088
4/3/2021,Andaman and Nicobar Islands,9361,7266,2095
5/3/2021,Andaman and Nicobar Islands,9897,7799,2098
6/3/2021,Andaman and Nicobar Islands,10498,8288,2210
7/3/2021,Andaman and Nicobar Islands,11101,8848,2253
8/3/2021,Andaman and Nicobar Islands,12004,9629,2375
9/3/2021,Andaman and Nicobar Islands,9932,7542,2390
10/3/2021,Andaman and Nicobar Islands,10161,7735,2426
11/3/2021,Andaman and Nicobar Islands,10704,8218,2486
12/3/2021,Andaman and Nicobar Islands,11321,8735,2586
13/03/2021,Andaman and Nicobar Islands,11638,8899,2739
14/03/2021,Andaman and Nicobar Islands,11693,8926,2767
15/03/2021,Andaman and Nicobar Islands,12045,9202,2843
16/03/2021,Andaman and Nicobar Islands,14826,11950,2876
17/03/2021,Andaman and Nicobar Islands,15489,12509,2980
18/03/2021,Andaman and Nicobar Islands,16131,12948,3183
19/03/2021,Andaman and Nicobar Islands,16612,13293,3319
20/03/2021,Andaman and Nicobar Islands,17451,13852,3599
21/03/2021,Andaman and Nicobar Islands,17478,13868,3610
22/03/2021,Andaman and Nicobar Islands,18085,14327,3758
23/03/2021,Andaman and Nicobar Islands,19121,15017,4104
24/03/2021,Andaman and Nicobar Islands,19693,15247,4446
25/03/2021,Andaman and Nicobar Islands,20318,15652,4666
26/03/2021,Andaman and Nicobar Islands,20789,15933,4856
27/03/2021,Andaman and Nicobar Islands,21356,16292,5064
28/03/2021,Andaman and Nicobar Islands,21358,16293,5065
29/03/2021,Andaman and Nicobar Islands,21357,16292,5065
30/03/2021,Andaman and Nicobar Islands,21840,16701,5139
31/03/2021,Andaman and Nicobar Islands,21938,16798,5140
1/4/2021,Andaman and Nicobar Islands,22608,17435,5173
2/4/2021,Andaman and Nicobar Islands,22738,17559,5179
3/4/2021,Andaman and Nicobar Islands,23221,17998,5223
4/4/2021,Andaman and Nicobar Islands,23901,18677,5224
5/4/2021,Andaman and Nicobar Islands,24774,19499,5275
6/4/2021,Andaman and Nicobar Islands,25766,20445,5321
7/4/2021,Andaman and Nicobar Islands,27978,22631,5347
8/4/2021,Andaman and Nicobar Islands,30766,25363,5403
